key,device_name,device_image,display_size,display_res,camera,video,ram,chipset,battery,batteryType,release_date,body,os_type,storage
honor_magic6-12788,Honor Magic6,https://fdn2.gsmarena.com/vv/bigpic/honor-magic6.jpg,"6.78""",1264x2800 pixels,50MP,2160p,12/16GB RAM,Snapdragon 8 Gen 3,5450mAh,66W50W,"Released 2024, January 18","199g or 206g, 8.1mm thickness","Android 14, MagicOS 8","256GB/512GB storage, no card slot"
honor_magic6_ultimate-12864,Honor Magic6 Ultimate,https://fdn2.gsmarena.com/vv/bigpic/honor-magic6-ultimate.jpg,"6.8""",1280x2800 pixels,180MP,2160p,16GB RAM,Snapdragon 8 Gen 3,5600mAh,80W66W,"Released 2024, March 22","227g, 8.9mm thickness","Android 14, MagicOS 8","512GB/1TB storage, no card slot"
honor_magic_v_flip-13142,Honor Magic V Flip,https://fdn2.gsmarena.com/vv/bigpic/honor-magic-v-flip.jpg,"6.8""",1080x2520 pixels,50MP,2160p,12/16GB RAM,Snapdragon 8+ Gen 1,4800mAh,66W,"Released 2024, June 19","193g, 7.2mm thickness","Android 14, MagicOS 8","256GB/512GB/1TB storage, no card slot"
honor_9x-9931,Honor 9X,https://fdn2.gsmarena.com/vv/bigpic/honor-9x-global-new.jpg,"6.59""",1080x2340 pixels,48MP,1080p,4/6GB RAM,Kirin 710F,4000mAh,10W,"Released 2019, November 14","196.8g, 8.8mm thickness","Android 9.0, EMUI 9.1","64GB/128GB storage, microSDXC"
honor_magic6_rsr_porsche_design-12873,Honor Magic6 RSR Porsche Design,https://fdn2.gsmarena.com/vv/bigpic/honor-magic6-rsr-porsche-design.jpg,"6.8""",1280x2800 pixels,180MP,2160p,24GB RAM,Snapdragon 8 Gen 3,5600mAh,80W66W,"Released 2024, March 22","237g, 8.9mm thickness","Android 14, MagicOS 8","1TB storage, no card slot"
honor_x8_5g-11718,Honor X8 5G,https://fdn2.gsmarena.com/vv/bigpic/honor-x8-5g.jpg,"6.5""",720x1600 pixels,48MP,1080p,6GB RAM,Snapdragon 480+ 5G,5000mAh,23W,"Released 2022, August 15","194g, 8.7mm thickness","Android 11, Magic UI 4.2","128GB storage, microSDXC"
honor_x5-12093,Honor X5,https://fdn2.gsmarena.com/vv/bigpic/honor-x5.jpg,"6.5""",720x1600 pixels,8MP,1080p,2GB RAM,Helio G25,5000mAh,,"Released 2023, February 14","193g, 8.9mm thickness",Android 12,"32GB storage, microSDXC"
honor_50_lite-11175,Honor 50 Lite,https://fdn2.gsmarena.com/vv/bigpic/honor-50-lite.jpg,"6.67""",1080x2376 pixels,64MP,1080p,6/8GB RAM,,4300mAh,66W,"Released 2021, November 17","192g, 8.5mm thickness","Android 11, Magic UI 4.2","128GB storage, no card slot"
honor_play-9230,Honor Play,https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-play-ofic.jpg,"6.3""",1080x2340 pixels,16MP,2160p,4/6GB RAM,Kirin 970,3750mAh,18W,"Released 2018, August","176g, 7.5mm thickness","Android 8.1, up to Android 9.0, EMUI 9.1","64GB/128GB storage, microSDXC"
honor_9-8704,Honor 9,https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-9-1.jpg,"5.15""",1080x1920 pixels,20MP,2160p,4/6GB RAM,Kirin 960,3200mAh,18W,"Released 2017, July","155g, 7.5mm thickness","Android 7.0, up to Android 9.0, EMUI 9.1","64GB/128GB storage, microSDXC"
honor_7s-9211,Honor 7S,https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-play-7.jpg,"5.45""",720x1440 pixels,13MP,1080p,1/2GB RAM,MT6739,3020mAh,,"Released 2018, May","142g, 8.3mm thickness","Android 8.1, EMUI 8.1","16GB storage, microSDXC"
honor_view_20-9468,Honor View 20,https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-view-20-ofic.jpg,"6.4""",1080x2310 pixels,48MP,2160p,6/8GB RAM,Kirin 980,4000mAh,23W,"Released 2018, December","180g, 8.1mm thickness","Android 9.0, up to Android 10, Magic UI 4.0","128GB/256GB storage, no card slot"
honor_x50_pro-12763,Honor X50 Pro,https://fdn2.gsmarena.com/vv/bigpic/honor-x50-pro.jpg,"6.78""",1220x2652 pixels,108MP,2160p,12GB RAM,Snapdragon 8+ Gen 1,5800mAh,35W,Cancelled,"192g, 8mm thickness",Android 14,"256GB storage, no card slot"
honor_v_purse-12570,Honor V Purse,https://fdn2.gsmarena.com/vv/bigpic/honor-v-purse-5g.jpg,"7.71""",2016x2348 pixels,50MP,2160p,16GB RAM,Snapdragon 778G 5G,4500mAh,35W,"Released 2023, September 19","214g, 4.3mm thickness","Android 13, MagicOS 7.2","256GB/512GB storage, no card slot"
honor_play_8a-9509,Honor Play 8A,https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-play-8a.jpg,"6.09""",720x1560 pixels,13MP,1080p,3GB RAM,Helio P35,3020mAh,,"Released 2019, January","150g, 8mm thickness","Android 9.0, EMUI 9","32GB/64GB storage, microSDXC"
honor_9x_(china)-9771,Honor 9X (China),https://fdn2.gsmarena.com/vv/bigpic/honor-9x-global.jpg,"6.59""",1080x2340 pixels,48MP,1080p,4-8GB RAM,Kirin 810,4000mAh,10W,"Released 2019, July","206g, 8.8mm thickness","Android 9.0, EMUI 9.1","64GB/128GB storage, microSDXC"
honor_watch_gs_3-11312,Honor Watch GS 3,https://fdn2.gsmarena.com/vv/bigpic/honor-watch-gs3.jpg,"1.43""",466x466 pixels,NO,,32MB RAM,,451mAh,,"Released 2022, January 15","44g, 10.5mm thickness",Proprietary OS,"4GB 32MB RAM storage, no card slot"
honor_watch_4_pro-12623,Honor Watch 4 Pro,https://fdn2.gsmarena.com/vv/bigpic/honor-watch-4-pro.jpg,"1.5""",464x464 pixels,NO,,,,480mAh,5W,"Released 2023, October 12","50g, 11.4mm thickness",MagicOS 7.2,No card slot
honor_x30-11270,Honor X30,https://fdn2.gsmarena.com/vv/bigpic/honor-x30.jpg,"6.81""",1080x2388 pixels,48MP,1080p,6-12GB RAM,Snapdragon 695 5G,4800mAh,66W,"Released 2021, December 25","189g, 8.1mm thickness","Android 11, Magic UI 5.0","128GB/256GB storage, no card slot"
honor_magicwatch_2-9974,Honor MagicWatch 2,https://fdn2.gsmarena.com/vv/bigpic/honor-magic-watch2-.jpg,"1.39""",454x454 pixels,NO,,,,455mAh,,"Released 2019, December","41g, 10.7mm thickness",Proprietary OS,"4GB storage, no card slot"
honor_30_pro+-10187,Honor 30 Pro+,https://fdn2.gsmarena.com/vv/bigpic/honor-30-pro-plus.jpg,"6.57""",1080x2340 pixels,50MP,2160p,8/12GB RAM,Kirin 990 5G,4000mAh,40W27W,"Released 2020, April 21","190g, 8.4mm thickness","Android 10, Magic UI 3","256GB storage, NM"
honor_x30_max-11178,Honor X30 Max,https://fdn2.gsmarena.com/vv/bigpic/honor-x30-max.jpg,"7.09""",1080x2280 pixels,64MP,2160p,8GB RAM,Dimensity 900,5000mAh,23W,"Released 2021, November 02","228g, 8.3mm thickness","Android 11, Magic UI 5.0","128GB/256GB storage, no card slot"
honor_pad_5_8-9741,Honor Pad 5 8,https://fdn2.gsmarena.com/vv/bigpic/honor5-8-jdn2-al00hn.jpg,"8.0""",1920x1200 pixels,8MP,1080p,3/4GB RAM,Kirin 710,5100mAh,,"Released 2019, July",8.2mm thickness,"Android 9.0, Magic 2.0","32GB/64GB storage, microSDXC"
honor_play4_pro-10258,Honor Play4 Pro,https://fdn2.gsmarena.com/vv/bigpic/honor-play-4-pro.jpg,"6.57""",1080x2400 pixels,40MP,2160p,8GB RAM,Kirin 990,4200mAh,40W,"Released 2020, June 10","213g, 8.9mm thickness","Android 10, Magic UI 3.1","128GB storage, no card slot"
